id,st_mass,pl_dens,pl_insol,st_met,planet_name,pl_eqt,size,st_rad,pl_orbper,pl_orbsmax,st_teff,pl_orbeccen,color,label
29392,0.64,1.3,0.41,-0.46,,205.0,6.4,0.65,267.283301,0.699,4797.0,0.0,#6384eb,Planet 29392
29394,0.64,1.3,0.41,-0.46,,205.0,6.4,0.65,267.283301,0.699,4797.0,0.0,#6384eb,Planet 29394
29396,0.76,1.3,0.47,-0.009,,795.0,7.6,0.66,267.29,0.1006,5062.0,0.0,#6384eb,Planet 29396
29397,0.7,1.3,0.5,-0.34,,795.0,7.0,0.71,267.283301,0.7203,4859.0,0.0,#6384eb,Planet 29397
30302,0.81,1.3,1.59,-0.3,,286.0,8.100000000000001,0.94,242.46712,0.7106,5637.0,0.0,#6384eb,Planet 30302
30303,0.81,1.3,1.59,-0.3,,286.0,8.100000000000001,0.94,242.46712,0.7106,5637.0,0.0,#6384eb,Planet 30303
30304,0.91,1.3,1.64,-0.1,,325.0,9.1,0.99,242.4659,0.74,5700.0,0.0,#6384eb,Planet 30304
30308,0.81,1.3,1.59,-0.3,,286.0,8.100000000000001,0.94,242.467406,0.7106,5637.0,0.0,#6384eb,Planet 30308
30311,0.81,1.3,1.59,-0.3,,286.0,8.100000000000001,0.94,242.46712,0.7106,5637.0,0.0,#6384eb,Planet 30311
30544,0.77,1.3,0.84,-0.4,,244.0,7.7,0.72,226.89047,0.6676,5330.0,0.0,#6384eb,Planet 30544
30545,0.77,1.3,0.84,-0.4,,244.0,7.7,0.72,226.89047,0.6676,5330.0,0.0,#6384eb,Planet 30545
30546,0.77,1.3,0.84,-0.4,,244.0,7.7,0.72,226.89047,0.6676,5330.0,0.0,#6384eb,Planet 30546
30548,0.79,1.3,0.73,-0.08,,236.0,7.9,0.75,226.8904775,0.6732,5067.0,0.0,#6384eb,Planet 30548
32466,1.26,3.09,2.86,0.145,,363.0,12.6,1.82,394.62508,1.137,5950.0,0.078,#a2c1ff,Planet 32466
32738,0.98,1.3,1.07,-0.2,,259.0,9.8,1.29,573.95023,1.3423,5991.0,0.0,#6384eb,Planet 32738
32740,0.98,1.3,1.07,-0.2,,259.0,9.8,1.29,573.95023,1.3423,5991.0,0.0,#6384eb,Planet 32740
32744,0.98,1.3,1.07,-0.2,,259.0,9.8,1.29,573.95023,1.3423,5991.0,0.0,#6384eb,Planet 32744
35048,0.97,1.3,1.15,0.0,,264.0,9.7,0.91,282.5253558,0.836,5725.0,0.0,#6384eb,Planet 35048
35055,1.01,1.3,2.06,-0.08,,306.0,10.1,1.12,282.5254856,0.8454,6007.0,0.0,#6384eb,Planet 35055
35056,1.01,1.3,2.06,-0.08,,306.0,10.1,1.12,282.5254856,0.8454,6007.0,0.0,#6384eb,Planet 35056
35057,1.01,1.3,2.06,-0.08,,306.0,10.1,1.12,282.5254856,0.8454,6007.0,0.0,#6384eb,Planet 35057
35167,1.03,1.3,0.21,0.156,,200.0,10.3,1.02,1010.0,2.0,5844.0,0.566,#6384eb,Planet 35167
35747,1.11,3.32,2.71,0.253,,348.0,11.100000000000001,1.64,260.79,0.828,5695.0,0.3683,#a9c6fd,Planet 35747
35977,0.88,1.3,0.15,0.37,,174.0,8.8,0.83,762.0,1.57,4960.0,0.26,#6384eb,Planet 35977
36078,0.96,1.3,1.23,-0.009,,269.0,9.6,1.58,271.93863897,0.1006,5490.04,0.0,#6384eb,Planet 36078
37823,0.29,1.3,0.06,-0.09,,795.0,5.0,0.31,217.21,0.47,3342.0,0.55,#6384eb,Planet 37823
38047,1.0,5.51,1.0,0.0,Earth,288.0,10.0,1.0,365.25,1.0,5778.0,0.0167,#ead5c9,Planet 38047
38048,1.0,5.5,1.02,0.01,Similar Earth,290.0,10.0,1.0,365.0,1.01,5778.0,0.02,#e9d5cb,Planet 38048
